Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Product URL
Teamgroup Cardea A440 Pro (w/ Heatsink),1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-a440-pro-w-heatsink-1-tb.d487
Teamgroup Cardea A440 Pro Special Series,1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-a440-pro-special-series-1-tb.d493
Teamgroup Cardea Ceramic C440,1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-ceramic-c440-1-tb.d495
Teamgroup Cardea II,256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-ii-1-tb.d480
Teamgroup Cardea II TUF Gaming Alliance,1 TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-ii-tuf-gaming-alliance-1-tb.d849
Teamgroup Cardea IOPS,1 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-iops-1-tb.d496
Teamgroup Cardea Liquid,256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-liquid-1-tb.d497
Teamgroup Cardea Z440 TUF Gaming Alliance,1 TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-z440-tuf-gaming-alliance-1-tb.d848
Teamgroup Cardea Z44L,500 GB 1 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E19T,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-z44l-1-tb.d541
Teamgroup Cardea Z44Q,2 TB 4 TB,QLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-z44q-2-tb.d501
Teamgroup Cardea Zero Z330,512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5763DL,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-zero-z330-1-tb.d1206
Teamgroup Cardea Zero Z440 (Kioxia BiCS4),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-zero-z440-1-tb.d503
Teamgroup Cardea Zero Z440 (Kioxia BiCS5),1 TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-cardea-zero-z440-1-tb.d1406
Teamgroup EX2 Elite,512 GB 1 TB 2 TB,TLC,2.5,SATA 6 Gbps,2020,SM2258XT,No,https://www.techpowerup.com/ssd-specs/teamgroup-ex2-elite-1-tb.d531
Teamgroup GX2,128 GB 256 GB 512 GB 1 TB 2 TB,TLC,2.5,SATA 6 Gbps,2019,SM2258XT,No,https://www.techpowerup.com/ssd-specs/teamgroup-gx2-1-tb.d1945
Teamgroup L5 Lite 3D,120 GB 240 GB 480 GB 1 TB,TLC,2.5,SATA 6 Gbps,2017,SM2258G,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-l5-lite-3d-1-tb.d533
Teamgroup MP33 (MAP1202 + BiCS5 HDR 1Tb),512 GB,TLC,M.2 2280,PCIe 3.0 x4,2022,SM2263XT,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-mp33-512-gb.d1942
Teamgroup MP33 (SM2263XT + B27B),128 GB 256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,SM2263XT,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-mp33-1-tb.d1209
Teamgroup MP34 (E12 + Kioxia BiCS3),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-mp34-1-tb.d1527
Teamgroup MP34 (RTS5762 + SK Hynix V6),1 TB 4 TB,TLC,M.2 2280,PCIe 3.0 x4,2023,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-mp34-1-tb.d1531
Teamgroup MP34Q (RTS5762 + QLC),4 TB,QLC,M.2 2280,PCIe 3.0 x4,2023,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-mp34q-4-tb.d1532
Teamgroup MP44,512 GB 1 TB 2 TB 4 TB 8 TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-mp44-1-tb.d1680
Teamgroup MP44L (MAP1602 + CDT2A),2 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-mp44l-2-tb.d1487
Teamgroup MP44L (Phison E21T + B47R),1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-mp44l-1-tb.d1168
Teamgroup MP44Q,1 TB 2 TB 4 TB,QLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-mp44q-1-tb.d1994
Teamgroup MP44S,1 TB 2 TB,QLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-mp44s-1-tb.d1723
Teamgroup QX,15 TB,QLC,2.5,SATA 6 Gbps,2020,Phison S12DC,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-qx-15-tb.d504
Teamgroup T-Create Classic PCIe 4.0,1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-t-create-classic-pcie-4-0-1-tb.d517
Teamgroup T-Create Classic PCIe 4.0 DL,1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,https://www.techpowerup.com/ssd-specs/teamgroup-t-create-classic-pcie-4-0-dl-1-tb.d1199
Teamgroup T-Create Classic SATA,1 TB,TLC,2.5,SATA 6 Gbps,2021,SM2259XT2,No,https://www.techpowerup.com/ssd-specs/teamgroup-t-create-classic-sata-1-tb.d1883
Teamgroup T-Create Expert,1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-t-create-expert-1-tb.d515
Teamgroup T-Force Cardea Zero Z340,256 GB 512 GB 1 TB 4 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-cardea-zero-z340-1-tb.d538
Teamgroup T-Force Delta Max RGB,250 GB 500 GB 1 TB,TLC,2.5,SATA 6 Gbps,2019,SM2258G,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-delta-max-rgb-1-tb.d505
Teamgroup T-Force Delta Phantom Gaming RGB,250 GB 500 GB 1 TB,TLC,2.5,SATA 6 Gbps,2019,SM2258G,Yes,https://www.techpowerup.com/ssd-specs/teamgroup-t-force-delta-phantom-gaming-rgb-1-tb.d521
