Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Product URL
XPG SX6000 Lite (RTS5763DL + YMTC BCT1B 256Gb 64-L),512 GB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5763DL,HMB,https://www.techpowerup.com/ssd-specs/xpg-sx6000-lite-512-gb.d2285
XPG SX6000 Pro,256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,https://www.techpowerup.com/ssd-specs/xpg-sx6000-pro-1-tb.d171
XPG SX8100 (Micron B16A),256 GB 512 GB,TLC,M.2 2280,PCIe 3.0 x4,2019,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8100-512-gb.d165
XPG SX8100 (Micron B17A),1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2019,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8100-1-tb.d166
XPG SX8100 (Micron N18A),4 TB,QLC,M.2 2280,PCIe 3.0 x4,2019,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8100-4-tb.d168
XPG SX8200 Pro (Micron B16A),256 GB 512 GB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-512-gb.d161
XPG SX8200 Pro (Micron B17A),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d162
XPG SX8200 Pro (Micron B27A),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d879
XPG SX8200 Pro (Micron B27B),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d877
XPG SX8200 Pro (SK Hynix V5),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d910
XPG SX8200 Pro (SK Hynix V6),2 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-2-tb.d1329
XPG SX8200 Pro (Samsung V4),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262G,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d892
XPG SX8200 Pro (Samsung V6),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2022,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d926
XPG SX8200 Pro (SanDisk BiCS4),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d914
XPG SX8200 Pro (SpecTek B27A),256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d919
XPG SX8200 Pro (YMTC BCT1B),256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2018,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/xpg-sx8200-pro-1-tb.d923
XPG Spectrix S20G,500 GB 1 TB,QLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762DL,HMB,https://www.techpowerup.com/ssd-specs/xpg-spectrix-s20g-1-tb.d136
XPG Spectrix S40G RGB,256 GB 512 GB 1 TB 2 TB 4 TB,TLC,M.2 2280,PCIe 3.0 x4,2019,RTS5762,Yes,https://www.techpowerup.com/ssd-specs/xpg-spectrix-s40g-rgb-1-tb.d133
Xraydisk SSD,1 TB,TLC,2.5,SATA 6 Gbps,Unknown,YS9082HP,No,https://www.techpowerup.com/ssd-specs/xraydisk-ssd-1-tb.d1573
Zadak Spark RGB,512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12,Yes,https://www.techpowerup.com/ssd-specs/zadak-spark-rgb-1-tb.d251
Zadak TWSG3,128 GB 256 GB 512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 3.0 x4,2021,IG5216,HMB,https://www.techpowerup.com/ssd-specs/zadak-twsg3-1-tb.d256
Zadak TWSG4S (MAP1602 + YMTC EET1A),2 TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,https://www.techpowerup.com/ssd-specs/zadak-twsg4s-2-tb.d1858
Zadak TWSG4S (Phison E18 + Micron B47R),512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,https://www.techpowerup.com/ssd-specs/zadak-twsg4s-1-tb.d1029
Zadak TWSS3 (Kioxia BiCS4),1 TB 2 TB,TLC,2.5,SATA 6 Gbps,2021,SM2258XT,Yes,https://www.techpowerup.com/ssd-specs/zadak-twss3-1-tb.d248
Zadak TWSS3 (YMTC),128 GB 256 GB 512 GB,TLC,2.5,SATA 6 Gbps,2021,SM2258XT,Yes,https://www.techpowerup.com/ssd-specs/zadak-twss3-512-gb.d247
Zhitai PC005 Active,1 TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,https://www.techpowerup.com/ssd-specs/zhitai-pc005-active-1-tb.d1995
Zhitai SC001,256 GB 512 GB 1 TB,TLC,2.5,SATA 6 Gbps,Unknown,MAS0902A-B2C,No,https://www.techpowerup.com/ssd-specs/zhitai-sc001-1-tb.d1633
Zhitai TiPRO7000,512 GB 1 TB 2 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,https://www.techpowerup.com/ssd-specs/zhitai-tipro7000-1-tb.d1193
Zhitai TiPlus7100,512 GB 1 TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,https://www.techpowerup.com/ssd-specs/zhitai-tiplus7100-1-tb.d1250
Zhitai TiPro9000,2 TB,TLC,M.2 2280,PCIe 5.0 x4,2024,SM2508,Yes,https://www.techpowerup.com/ssd-specs/zhitai-tipro9000-2-tb.d2267
Zircon L1 Series (Micron N48R),256 GB 512 GB,QLC,M.2 2280,SATA 6 Gbps,2023,MAS1102B-B1C,No,https://www.techpowerup.com/ssd-specs/zircon-l1-series-512-gb.d1641
Zircon L1 Series (SK Hynix V6),128 GB,TLC,M.2 2280,SATA 6 Gbps,2023,MAS1102B-B1C,No,https://www.techpowerup.com/ssd-specs/zircon-l1-series-128-gb.d1639
Zircon R1 Series (SK Hynix V6),256 GB,TLC,M.2 2280,PCIe 3.0 x4,2023,MAP1202A-F1C,HMB,https://www.techpowerup.com/ssd-specs/zircon-r1-series-256-gb.d1638
Zircon R1 Series (SanDisk BiCS5),256 GB 512 GB 1 TB,TLC,M.2 2280,PCIe 3.0 x4,2023,MAP1202A-F1C,HMB,https://www.techpowerup.com/ssd-specs/zircon-r1-series-1-tb.d1636
Zircon Z1 Series (MAS0902 + Micron B27B),128 GB,TLC,2.5,SATA 6 Gbps,2022,MAS0902A-B2C,No,https://www.techpowerup.com/ssd-specs/zircon-z1-series-128-gb.d1653
Zircon Z1 Series (MAS1102 + Micron N48R),256 GB 512 GB,QLC,2.5,SATA 6 Gbps,2022,MAS1102B-B1C,No,https://www.techpowerup.com/ssd-specs/zircon-z1-series-512-gb.d1654
