Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
ADATA Project NeonStorm,1TB,Unknown,M.2 2280,PCIe 5.0 x4,2023,IG5666,Yes,14000/12000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/adata-project-neonstorm-1-tb.d1496
ADATA Project Nightbird,1TB,TLC,M.2 2280,PCIe 5.0 x4,2022,IG5666,Yes,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/adata-project-nightbird-1-tb.d619
ADATA SE900G (Samsung V4),512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,2000/2000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/adata-se900g-1-tb.d1136
ADATA SE900G (SpecTek B27A),512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,SM2262ENG,Yes,2000/2000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/adata-se900g-1-tb.d1133
ADATA Swordfish,250GB 500GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5763DL,HMB,1800/1400 MB/s,180000/180000 IOPS,480TBW,https://www.techpowerup.com/ssd-specs/adata-swordfish-1-tb.d143
ADATA Ultimate SU630 (MAS0902 + SpecTek N18A),240GB 480GB 960GB 1.9TB 3.8TB,QLC,2.5,SATA 6 Gbps,2018,MAS0902A-B2C,No,520/450 MB/s,40000/65000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su630-960-gb.d276
ADATA Ultimate SU630 (SM2259XT + SpecTek N18A),240GB 480GB 960GB 1.9TB 3.8TB,QLC,2.5,SATA 6 Gbps,2021,SM2259XT,No,520/450 MB/s,40000/65000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su630-960-gb.d996
ADATA Ultimate SU650 (MAS0902 + Micron B0KB),960GB 1.9TB,TLC,2.5,SATA 6 Gbps,2018,MAS0902A-B2C,No,520/320 MB/s,40000/75000 IOPS,560TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su650-960-gb.d266
ADATA Ultimate SU650 (MAS0902 + Micron B27A),240GB,TLC,2.5,SATA 6 Gbps,2020,MAS0902A-B2C,No,520/320 MB/s,40000/75000 IOPS,140TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su650-240-gb.d1565
ADATA Ultimate SU650 (RTS5735DLQ + SK Hynix V7),240GB,TLC,2.5,SATA 6 Gbps,2023,RTS5735DLQ,No,520/320 MB/s,40000/75000 IOPS,140TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su650-240-gb.d1678
ADATA Ultimate SU650 (RTS5735DLQ + YMTC CDT1B),512GB,TLC,2.5,SATA 6 Gbps,2021,RTS5735DLQ,No,520/320 MB/s,20000/75000 IOPS,280TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su650-512-gb.d1767
ADATA Ultimate SU650 (SM2258XT + Micron B0KB),60GB 120GB 240GB 480GB,TLC,2.5,SATA 6 Gbps,2018,SM2258XT,No,520/320 MB/s,20000/75000 IOPS,280TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su650-480-gb.d238
ADATA Ultimate SU650 (SM2258XT + Micron B16A),60GB 120GB 240GB 480GB,TLC,2.5,SATA 6 Gbps,2019,SM2258XT,No,520/320 MB/s,20000/75000 IOPS,280TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su650-480-gb.d1002
ADATA Ultimate SU650 (SM2258XT + Samsung V4),60GB 120GB 240GB 480GB 960GB,TLC,2.5,SATA 6 Gbps,2018,SM2258XT,No,520/320 MB/s,40000/75000 IOPS,560TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su650-960-gb.d1007
ADATA Ultimate SU650 (SM2259XT2 + Intel N38A),240GB,QLC,2.5,SATA 6 Gbps,2022,SM2259XT2,No,520/320 MB/s,40000/75000 IOPS,140TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su650-240-gb.d1564
ADATA Ultimate SU720,500GB 1TB 2TB,Unknown,2.5,SATA 6 Gbps,2020,Unknown,No,520/450 MB/s,50000/65000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su720-1-tb.d233
ADATA Ultimate SU750,256GB 512GB 1TB,TLC,2.5,SATA 6 Gbps,2019,RTS5733DMQ,No,550/520 MB/s,65000/75000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su750-1-tb.d229
ADATA Ultimate SU760,256GB 512GB 1TB,Unknown,2.5,SATA 6 Gbps,2016,RTS5733DMQ,No,550/520 MB/s,65000/75000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su760-1-tb.d225
ADATA Ultimate SU800 (Micron B0KB),128GB 256GB 512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2016,SM2258H,Yes,560/520 MB/s,80000/80000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su800-1-tb.d185
ADATA Ultimate SU800 (Samsung V4),128GB 256GB 512GB 1TB 2TB,TLC,2.5,SATA 6 Gbps,2021,SM2258H,Yes,560/520 MB/s,80000/80000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su800-1-tb.d1011
ADATA Ultimate SU900,128GB 256GB 512GB 1TB 2TB,MLC,2.5,SATA 6 Gbps,2016,SM2258H,Yes,560/525 MB/s,85000/90000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/adata-ultimate-su900-1-tb.d180
Addlink A90,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,5000/4400 MB/s,750000/700000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/addlink-a90-1-tb.d1093
Addlink A92,1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,4700/1850 MB/s,180000/450000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/addlink-a92-1-tb.d1096
Addlink A93,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7200/6100 MB/s,1000000/820000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/addlink-a93-1-tb.d1610
Addlink A95,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7200/6000 MB/s,1000000/1000000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/addlink-a95-1-tb.d1099
Addlink NAS D60,960GB 1.9TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E18DC,Yes,6000/1400 MB/s,750000/50000 IOPS,1900TBW,https://www.techpowerup.com/ssd-specs/addlink-nas-d60-960-gb.d2183
Addlink S70,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3400/3000 MB/s,330000/180000 IOPS,1700TBW,https://www.techpowerup.com/ssd-specs/addlink-s70-1-tb.d345
Addlink S90,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E16,Yes,5000/4400 MB/s,750000/700000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/addlink-s90-1-tb.d343
Addlink S90 Lite,512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,5000/4000 MB/s,500000/700000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/addlink-s90-lite-1-tb.d1440
Addlink S91 (Phison E21T + Kioxia BiCS5),512GB,TLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,3600/2300 MB/s,400000/550000 IOPS,350TBW,https://www.techpowerup.com/ssd-specs/addlink-s91-512-gb.d1547
Addlink S91 (Phison E21T + Micron N48R),1TB 2TB,QLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,4900/3200 MB/s,570000/750000 IOPS,250TBW,https://www.techpowerup.com/ssd-specs/addlink-s91-1-tb.d1546
Addlink S95,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,Phison E18,Yes,7100/5100 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/addlink-s95-1-tb.d342
Addlink X70 RGB,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12,Yes,3400/3000 MB/s,510000/680000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/addlink-x70-rgb-1-tb.d338
Aigo SMI70,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2024,SM2268XT,No,7480/6450 MB/s,1000000/1000000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/aigo-smi70-1-tb.d1964
AMD Radeon R5 (SM2259XT2 + Kioxia BiCS5),256GB,TLC,2.5,SATA 6 Gbps,Unknown,SM2259XT2,No,535/450 MB/s,Unknown IOPS,80TBW,https://www.techpowerup.com/ssd-specs/amd-radeon-r5-256-gb.d1358
AMD Radeon R7,240GB,MLC,2.5,SATA 6 Gbps,2014,Barefoot 3 M00,Yes,550/530 MB/s,95000/90000 IOPS,44TBW,https://www.techpowerup.com/ssd-specs/amd-radeon-r7-240-gb.d1778
Anaconda i3 (MAP1202 + SK Hynix V7 512Gb),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,MAP1202A-F1C,HMB,3000/3000 MB/s,Unknown IOPS,640TBW,https://www.techpowerup.com/ssd-specs/anaconda-i3-1-tb.d1953
Anaconda i3 (Phison E12S + Micron B27B),1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,MAP1202A-F1C,Yes,3000/3000 MB/s,Unknown IOPS,640TBW,https://www.techpowerup.com/ssd-specs/anaconda-i3-1-tb.d1956
Anaconda i4-X Fiery Serpent,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E18,Yes,7000/5000 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/anaconda-i4-x-fiery-serpent-1-tb.d2003
Aorus Gen4 7000s Premium SSD (E18 + B27B),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/aorus-gen4-7000s-premium-ssd-1-tb.d406
Aorus Gen4 7000s Premium SSD (E18 + B47R),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7400/6100 MB/s,800000/1000000 IOPS,1275TBW,https://www.techpowerup.com/ssd-specs/aorus-gen4-7000s-premium-ssd-1-tb.d900
Aorus Gen4 7000s SSD (E18 + B27B),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/5500 MB/s,350000/700000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/aorus-gen4-7000s-ssd-1-tb.d404
Aorus Gen4 7000s SSD (E18 + B47R),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7400/6100 MB/s,800000/1000000 IOPS,1275TBW,https://www.techpowerup.com/ssd-specs/aorus-gen4-7000s-ssd-1-tb.d898
Aorus Gen4 7300,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,Phison E18,Yes,7300/6000 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/aorus-gen4-7300-1-tb.d1319
Aorus Gen4 AIC SSD,2TB,TLC,Add-In Card,PCIe 4.0 x16,2020,Phison E16,Yes,15000/9500 MB/s,Unknown IOPS,850TBW,https://www.techpowerup.com/ssd-specs/aorus-gen4-aic-ssd-2-tb.d794
Aorus Gen4 SSD,512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,700000/700000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/aorus-gen4-ssd-1-tb.d398
Aorus Gen4 SSD (v2),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,700000/700000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/aorus-gen4-ssd-v2-1-tb.d401
Aorus Gen5 12000,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11700/9500 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/aorus-gen5-12000-1-tb.d1608
Aorus RAID SSD,2TB,TLC,Add-In Card,PCIe 3.0 x8,2020,Phison E12S,Yes,6300/6000 MB/s,240000/245000 IOPS,700 (per SSD)TBW,https://www.techpowerup.com/ssd-specs/aorus-raid-ssd-2-tb.d602
Aorus RGB AIC NVMe SSD,512GB 1TB,TLC,Add-In Card,PCIe 3.0 x4,2019,Phison E12,Yes,3480/3080 MB/s,610000/530000 IOPS,1600TBW,https://www.techpowerup.com/ssd-specs/aorus-rgb-aic-nvme-ssd-1-tb.d816
Aorus RGB SSD (Kioxia BiCS3),256GB 512GB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3480/2000 MB/s,360000/440000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/aorus-rgb-ssd-512-gb.d976
Aorus RGB SSD (Micron B27A),256GB 512GB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3480/2000 MB/s,360000/440000 IOPS,800TBW,https://www.techpowerup.com/ssd-specs/aorus-rgb-ssd-512-gb.d395
Apacer AS2280P4U Pro (MAP1202 + SK Hynix V6 512Gb),256GB,TLC,M.2 2280,PCIe 3.0 x4,2021,MAP1202A-F1C,Yes,3500/1200 MB/s,210000/315000 IOPS,170TBW,https://www.techpowerup.com/ssd-specs/apacer-as2280p4u-pro-256-gb.d1985
Apacer AS2280P4U Pro (Phison E12S + Unkown TLC),256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2021,Phison E12S,Yes,3500/3000 MB/s,670000/670000 IOPS,760TBW,https://www.techpowerup.com/ssd-specs/apacer-as2280p4u-pro-1-tb.d1107
Apacer AS2280Q4,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1650TBW,https://www.techpowerup.com/ssd-specs/apacer-as2280q4-1-tb.d1104
Apacer AS2280Q4U (MAP1602 + YMTC EET1A),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,7300/6000 MB/s,750000/1000000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/apacer-as2280q4u-1-tb.d1615
Apacer AS2280Q4U (Phison E18 + Micron B47R),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7300/6000 MB/s,750000/1000000 IOPS,750TBW,https://www.techpowerup.com/ssd-specs/apacer-as2280q4u-1-tb.d1101
Apacer Endurance NAS PPSS25,256GB 512GB,TLC,2.5,SATA 6 Gbps,2022,Phison S11,No,560/480 MB/s,87000/67000 IOPS,820TBW,https://www.techpowerup.com/ssd-specs/apacer-endurance-nas-ppss25-512-gb.d2178
Apple iMac M1 24 inch,256GB,Unknown,Embedded,Unknown,2021,M1,Yes,Unknown MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/apple-imac-m1-24-inch-256-gb.d1416
Apple Macbook Air M2,256GB,Unknown,Embedded,PCIe 3.0 x4,2022,Air M2,Yes,1600/1600 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/apple-macbook-air-m2-256-gb.d1412
Asgard AN3+,512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2018,STAR1000P,Yes,3400/3000 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/asgard-an3-1-tb.d350
Asgard AN3.0,512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2021,MAP1202A-F1C,HMB,3300/3000 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/asgard-an3-0-1-tb.d1045
Asgard AN4,1TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7500/5500 MB/s,Unknown IOPS,700TBW,https://www.techpowerup.com/ssd-specs/asgard-an4-1-tb.d349
Asgard AN4+,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2023,MAP1602A,HMB,7000/6500 MB/s,Unknown IOPS,600TBW,https://www.techpowerup.com/ssd-specs/asgard-an4-1-tb.d1489
Asura Genesis Xtreme,256GB 512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2019,Phison E12,Yes,3400/2750 MB/s,490000/500000 IOPS,1665TBW,https://www.techpowerup.com/ssd-specs/asura-genesis-xtreme-1-tb.d353
ASUS ROG Ally SSD (Micron 2400),512GB,QLC,M.2 2230,PCIe 4.0 x4,2022,SM2269XT,HMB,4200/1800 MB/s,400000/400000 IOPS,150TBW,https://www.techpowerup.com/ssd-specs/asus-rog-ally-ssd-512-gb.d1560
ASUS ROG Ally SSD (WD SN740),512GB 1TB,TLC,M.2 2230,PCIe 4.0 x4,2022,WD 20-82-10081,HMB,5150/4900 MB/s,740000/800000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/asus-rog-ally-ssd-1-tb.d1455
ASUS ROG RAIDR Express,240GB,MLC,Add-In Card,PCIe 2.0 x2,2013,SF-2281,No,830/810 MB/s,100000/100000 IOPS,Unknown (per SSD)TBW,https://www.techpowerup.com/ssd-specs/asus-rog-raidr-express-240-gb.d1306
ASUS ROG SQ7,1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7000/6000 MB/s,Unknown IOPS,800TBW,https://www.techpowerup.com/ssd-specs/asus-rog-sq7-1-tb.d815
Ayaneo 2,1TB,QLC,M.2 2280,PCIe 3.0 x4,2023,RTS5765DL,HMB,2800/2300 MB/s,110000/100000 IOPS,2500TBW,https://www.techpowerup.com/ssd-specs/ayaneo-2-1-tb.d1885
Biostar M700 (Micron B16A),512GB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2263XT,HMB,2000/1600 MB/s,240000/260000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/biostar-m700-512-gb.d357
Biostar M700 (Micron B17A),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2263XT,HMB,2000/1650 MB/s,240000/260000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/biostar-m700-1-tb.d358
Biostar M700 (Spectek B17A),256GB,TLC,M.2 2280,PCIe 3.0 x4,2019,SM2263XT,HMB,1850/950 MB/s,200000/260000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/biostar-m700-256-gb.d356
Biwin NV7400,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,MAP1602A,HMB,7400/6500 MB/s,Unknown IOPS,1000TBW,https://www.techpowerup.com/ssd-specs/biwin-nv7400-1-tb.d2087
Biwin X570,2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2025,MAP1806A,Yes,14500/14000 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/biwin-x570-2-tb.d2028
CFD Gaming PG5NFZ,1TB 2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2022,Phison E26,Yes,9500/8500 MB/s,1300000/1100000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/cfd-gaming-pg5nfz-1-tb.d1119
Colorful CN700,512GB 1TB,TLC,M.2 2280,PCIe 4.0 x4,2022,MAP1602A,HMB,5000/4500 MB/s,Unknown IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/colorful-cn700-1-tb.d1181
Corsair MP300,120GB 240GB 480GB 960GB,TLC,M.2 2280,PCIe 3.0 x2,2018,Phison E8,Yes,1600/1080 MB/s,240/210000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/corsair-mp300-960-gb.d387
Corsair MP400,1TB 2TB 4TB 8TB,QLC,M.2 2280,PCIe 3.0 x4,2020,Phison E12S,Yes,3480/1880 MB/s,190000/470000 IOPS,200TBW,https://www.techpowerup.com/ssd-specs/corsair-mp400-1-tb.d380
Corsair MP510 (Kioxia BiCS3),240GB 480GB 960GB 1.9TB,TLC,M.2 2280,PCIe 3.0 x4,2016,Phison E12,Yes,3480/3000 MB/s,610000/570000 IOPS,1700TBW,https://www.techpowerup.com/ssd-specs/corsair-mp510-960-gb.d377
Corsair MP510 (Kioxia BiCS4),3.8TB,TLC,M.2 2280,PCIe 3.0 x4,2016,Phison E12,Yes,3480/3000 MB/s,580000/680000 IOPS,6820TBW,https://www.techpowerup.com/ssd-specs/corsair-mp510-3-8-tb.d379
Corsair MP600,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,4950/4250 MB/s,680000/600000 IOPS,1600TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-1-tb.d373
Corsair MP600 CORE,1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2021,Phison E16,Yes,4700/1950 MB/s,480000/200000 IOPS,225TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-core-1-tb.d369
Corsair MP600 Core Mini (Phison E21T + Micron N48R),2TB,QLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,5000/3800 MB/s,550000/900000 IOPS,450TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-core-mini-2-tb.d1797
Corsair MP600 Core XT,1TB 2TB 4TB,QLC,M.2 2280,PCIe 4.0 x4,2023,Phison E21T,HMB,5000/3500 MB/s,700000/900000 IOPS,250TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-core-xt-1-tb.d1458
Corsair MP600 Elite,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,HMB,7000/6200 MB/s,1000000/1000000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-elite-1-tb.d1913
Corsair MP600 Elite (w/ Heatsink),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E27T,HMB,7000/6200 MB/s,1000000/1000000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-elite-w-heatsink-1-tb.d1911
Corsair MP600 GS,500GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E21T,HMB,4800/3900 MB/s,580000/800000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-gs-1-tb.d1164
Corsair MP600 Mini,1TB 2TB,TLC,M.2 2230,PCIe 4.0 x4,2024,Phison E27T,HMB,7000/6200 MB/s,1000000/1000000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-mini-1-tb.d2018
Corsair MP600 Mini (Phison E21T + Micron B47R),1TB,TLC,M.2 2230,PCIe 4.0 x4,2023,Phison E21T,HMB,4800/4800 MB/s,850000/1100000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-mini-1-tb.d1461
Corsair MP600 PRO,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7100/5500 MB/s,780000/360000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-1-tb.d366
Corsair MP600 Pro Hydro X,2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7000/6550 MB/s,800000/650000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-hydro-x-2-tb.d364
Corsair MP600 Pro LPX (Kioxia BiCS5 TLC 512Gb),2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7100/6800 MB/s,1000000/1200000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-lpx-2-tb.d2266
Corsair MP600 Pro LPX (Micron TLC B47R 512Gb),500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7100/5800 MB/s,900000/1200000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-lpx-1-tb.d617
Corsair MP600 Pro NH (Phison E18 + Kioxia BiCS5),2TB 8TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7000/5700 MB/s,1000000/1200000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-nh-2-tb.d1554
Corsair MP600 Pro NH (Phison E18 + Micron B47R),500GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7000/5700 MB/s,870000/1200000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-nh-1-tb.d1158
Corsair MP600 PRO XT,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7100/5800 MB/s,900000/1200000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-xt-1-tb.d361
Corsair MP600 PRO XT (Phison E18 + Kioxia BiCS5),8TB,TLC,M.2 2280,PCIe 4.0 x4,2022,Phison E18,Yes,7100/6100 MB/s,950000/1200000 IOPS,6000TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-xt-8-tb.d1056
Corsair MP600 PRO XT Hydro X,2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,Phison E18,Yes,7100/6800 MB/s,1000000/1200000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/corsair-mp600-pro-xt-hydro-x-2-tb.d363
Corsair MP700,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,9500/8500 MB/s,1300000/1600000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/corsair-mp700-1-tb.d1469
Corsair MP700 Elite,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E31T,HMB,10000/8500 MB/s,1300000/1400000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/corsair-mp700-elite-1-tb.d2237
Corsair MP700 Elite (w/ Heatsink),1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E31T,HMB,10000/8500 MB/s,1300000/1400000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/corsair-mp700-elite-w-heatsink-1-tb.d2239
Corsair MP700 Pro,1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11700/9600 MB/s,1400000/1500000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/corsair-mp700-pro-1-tb.d1782
Corsair MP700 Pro (w/ Heatsink),1TB 2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,11700/9600 MB/s,1400000/1500000 IOPS,700TBW,https://www.techpowerup.com/ssd-specs/corsair-mp700-pro-w-heatsink-1-tb.d1780
Corsair MP700 Pro Hydro X,2TB,TLC,M.2 2280,PCIe 5.0 x4,2023,Phison E26,Yes,12400/11800 MB/s,1500000/1600000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/corsair-mp700-pro-hydro-x-2-tb.d1783
Corsair MP700 Pro SE,2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,14000/12000 MB/s,1700000/1600000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/corsair-mp700-pro-se-2-tb.d1997
Corsair MP700 Pro SE Hydro X,2TB 4TB,TLC,M.2 2280,PCIe 5.0 x4,2024,Phison E26,Yes,14000/12000 MB/s,1700000/1600000 IOPS,1400TBW,https://www.techpowerup.com/ssd-specs/corsair-mp700-pro-se-hydro-x-2-tb.d1999
