Model,Capacity,NAND Type,Format,Interface,Released,Controller,DRAM,Sequential R/W,Random R/W,Endurance,Product URL
XPG Gammix S11 Pro (SM2262ENG + Micron B27B),1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,SM2262ENG,Yes,3500/3000 MB/s,360000/360000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s11-pro-1-tb.d1563
XPG Gammix S41 Tuf (Micron B16A),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762,Yes,3500/3000 MB/s,290000/240000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s41-tuf-1-tb.d973
XPG Gammix S41 Tuf (Micron B17A),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762,Yes,3500/3000 MB/s,290000/240000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s41-tuf-1-tb.d971
XPG Gammix S41 Tuf (Samsung V4),256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762,Yes,3500/3000 MB/s,290000/240000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s41-tuf-1-tb.d130
XPG Gammix S5,256GB 512GB 1TB 2TB,Unknown,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,2100/1500 MB/s,250000/240000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s5-1-tb.d159
XPG Gammix S50,1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2019,Phison E16,Yes,5000/4400 MB/s,750000/750000 IOPS,1800TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s50-1-tb.d124
XPG Gammix S50 Lite (Micron B27B),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,SM2267,Yes,3900/3200 MB/s,380000/540000 IOPS,740TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s50-lite-1-tb.d931
XPG Gammix S50 Lite (Micron B47R),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,SM2267,Yes,3900/3200 MB/s,380000/540000 IOPS,740TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s50-lite-1-tb.d126
XPG Gammix S60 (Phison E21T + SK Hynix V7 512Gb),512GB 1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2024,Phison E21T,HMB,5000/3200 MB/s,Unknown IOPS,220TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s60-1-tb.d2075
XPG Gammix S60 (SM2269XT + Micron B47R),512GB,TLC,M.2 2280,PCIe 4.0 x4,2024,SM2269XT,HMB,4700/1700 MB/s,Unknown IOPS,110TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s60-512-gb.d2225
XPG Gammix S7,512GB 1TB 2TB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762,Yes,3500/3000 MB/s,290000/240000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s7-1-tb.d154
XPG Gammix S70 (IG5236 + B27B),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2020,IG5236,Yes,7400/5500 MB/s,350000/720000 IOPS,740TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-1-tb.d122
XPG Gammix S70 (IG5236 + B47R),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2022,IG5236,Yes,7400/5500 MB/s,350000/720000 IOPS,740TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-1-tb.d928
XPG Gammix S70 Blade (Micron TLC B47R 512Gb),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7400/5500 MB/s,740000/740000 IOPS,740TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-blade-1-tb.d120
XPG Gammix S70 Blade (SK Hynix TLC V7 512Gb C-Die),2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7400/6800 MB/s,750000/750000 IOPS,1480TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-blade-2-tb.d2262
XPG Gammix S70 Blade (YMTC X2-9060 TLC CDT1B 512Gb),1TB 2TB,TLC,M.2 2280,PCIe 4.0 x4,2021,IG5236,Yes,7400/5500 MB/s,740000/740000 IOPS,740TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-blade-1-tb.d1411
XPG Gammix S70 Pro,1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2264F,Yes,7400/6000 MB/s,730000/610000 IOPS,780TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-pro-1-tb.d1752
XPG Gammix S70 Pro (w/ Heatsink),1TB 2TB 4TB,TLC,M.2 2280,PCIe 4.0 x4,2023,SM2264F,Yes,7400/6000 MB/s,730000/610000 IOPS,780TBW,https://www.techpowerup.com/ssd-specs/xpg-gammix-s70-pro-w-heatsink-1-tb.d1753
XPG PCIe Gen5 SSD,8TB,TLC,M.2 2280,PCIe 5.0 x4,2023,SM2508,Yes,14000/12000 MB/s,1800000/1600000 IOPS,UnknownTBW,https://www.techpowerup.com/ssd-specs/xpg-pcie-gen5-ssd-8-tb.d1283
XPG Spectrix S20G,500GB 1TB,QLC,M.2 2280,PCIe 3.0 x4,2020,RTS5762DL,HMB,2500/1800 MB/s,160000/190000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/xpg-spectrix-s20g-1-tb.d136
XPG Spectrix S40G RGB,256GB 512GB 1TB 2TB 4TB,TLC,M.2 2280,PCIe 3.0 x4,2019,RTS5762,Yes,3500/3000 MB/s,290000/240000 IOPS,640TBW,https://www.techpowerup.com/ssd-specs/xpg-spectrix-s40g-rgb-1-tb.d133
XPG SX6000 Lite (RTS5763DL + Micron B16A),256GB 512GB,TLC,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,1800/1200 MB/s,180000/200000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/xpg-sx6000-lite-512-gb.d175
XPG SX6000 Lite (RTS5763DL + Micron B17A),1TB,TLC,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,1800/1200 MB/s,200000/220000 IOPS,480TBW,https://www.techpowerup.com/ssd-specs/xpg-sx6000-lite-1-tb.d176
XPG SX6000 Lite (RTS5763DL + SpecTek B16A),128GB,TLC,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,1800/600 MB/s,100000/130000 IOPS,60TBW,https://www.techpowerup.com/ssd-specs/xpg-sx6000-lite-128-gb.d173
XPG SX6000 Lite (RTS5763DL + YMTC BCT1B 256Gb 64-L),512GB,TLC,M.2 2280,PCIe 3.0 x4,2020,RTS5763DL,HMB,1800/1200 MB/s,180000/200000 IOPS,240TBW,https://www.techpowerup.com/ssd-specs/xpg-sx6000-lite-512-gb.d2285
XPG SX6000 Pro,256GB 512GB 1TB,TLC,M.2 2280,PCIe 3.0 x4,2018,RTS5763DL,HMB,2100/1500 MB/s,250000/240000 IOPS,600TBW,https://www.techpowerup.com/ssd-specs/xpg-sx6000-pro-1-tb.d171
XPG SX8100 (Micron B16A),256GB 512GB,TLC,M.2 2280,PCIe 3.0 x4,2019,RTS5762,Yes,3500/1900 MB/s,300000/240000 IOPS,320TBW,https://www.techpowerup.com/ssd-specs/xpg-sx8100-512-gb.d165
